"wso_id";"name_short";"sea_cd";"area_km2";"zone"
1043050;"";2;27.4000000000;""
1039406;"";2;29.6000000000;""
1084257;"";2;10.9000000000;""
1039403;"";2;8.60000000000;""
1043058;"";2;22.5000000000;""
1043059;"";2;6.20000000000;""
1124271;"";5;22.1000000000;"NS"
1112627;"";5;8.10000000000;"NS"
1050945;"";5;7.00000000000;"NS"
1058949;"";2;1.00000000000;""
1102157;"";2;2.50000000000;""
1131112;"";5;14.6000000000;"NS"
1046362;"";2;20.8000000000;""
1127505;"";5;3.90000000000;"NS"
1065042;"";2;5.10000000000;""
1065043;"";2;6.20000000000;""
1116655;"";5;1.50000000000;"NS"
1069934;"";2;2.60000000000;""
1053438;"";5;31.6000000000;"NS"
1065671;"";2;2.90000000000;""
1039317;"";2;7.30000000000;""
1039315;"";2;4.50000000000;""
1124146;"";5;9.50000000000;"NS"
1039311;"";2;7.40000000000;""
1127013;"";5;2.90000000000;"NS"
1039318;"";2;14.4000000000;""
1084752;"";2;3.70000000000;""
1131216;"";5;25.2000000000;"NS"
1080236;"";2;9.30000000000;""
1091272;"";2;4.50000000000;""
1046463;"";2;26.9000000000;""
1050660;"";5;16.2000000000;"NS"
1050661;"";5;46.1000000000;"NS"
1099279;"";2;8.40000000000;""
1094960;"";2;8.90000000000;""
1127600;"";5;3.30000000000;"NS"
1053303;"";5;49.9000000000;"NS"
1038188;"";5;57.5000000000;"NS"
1065540;"";2;2.00000000000;""
1067188;"";2;1.90000000000;""
1039872;"";2;25.5000000000;""
1039878;"";2;18.3000000000;""
1112006;"";5;5.90000000000;"NS"
1112007;"";5;27.1000000000;"NS"
1039414;"";2;6.20000000000;""
1039412;"";2;16.2000000000;""
1039411;"";2;6.60000000000;""
1061029;"";2;7.00000000000;""
1050954;"";5;24.0000000000;"NS"
1058955;"";2;1.20000000000;""
1112631;"";5;4.10000000000;"NS"
1034724;"SE_Inla";5;41911.0000000;"NS"
1098690;"";2;0.00000000000;""
1127974;"";5;4.30000000000;"NS"
1104394;"";5;1.50000000000;"NS"
1058572;"";2;3.70000000000;""
1034726;"SE_Both";2;5722.30000000;""
1102754;"";2;1.30000000000;""
1102755;"";2;4.00000000000;""
1091770;"";2;11.4000000000;""
1042820;"";2;12.3000000000;""
1119889;"";5;2.40000000000;"NS"
1038287;"";5;36.7000000000;"NS"
1065056;"";2;1.80000000000;""
1105073;"";5;4.80000000000;"NS"
1067280;"";2;2.90000000000;""
1109927;"";5;1.60000000000;"NS"
1109925;"";5;2.40000000000;"NS"
1105662;"";5;6.20000000000;"NS"
1112961;"";5;1.50000000000;"NS"
1109921;"";5;5.70000000000;"NS"
1039367;"";2;27.9000000000;""
1056126;"";5;37.3000000000;"NS"
1056122;"";5;34.2000000000;"NS"
1056120;"";5;31.9000000000;"NS"
1069527;"";2;26.5000000000;""
1061524;"";2;4.60000000000;""
1056128;"SE_West";5;45.4000000000;"NS"
1099246;"";2;5.00000000000;""
1131263;"";5;1.50000000000;"NS"
1127061;"";5;4.90000000000;"NS"
1046471;"";2;69.1000000000;""
1050671;"";5;0.00000000000;"NS"
1058670;"";2;1.60000000000;""
1127614;"";5;18.8000000000;"NS"
1067196;"";2;3.30000000000;""
1067195;"";2;4.20000000000;""
1067192;"";2;8.10000000000;""
1067193;"";2;4.10000000000;""
1034730;"SE_Both";2;3965.70000000;""
1094518;"";2;9.40000000000;""
1067789;"";2;2.90000000000;""
1039460;"";2;15.9000000000;""
1112606;"";5;6.10000000000;"NS"
1112609;"";5;1.10000000000;"NS"
1128134;"";5;11.1000000000;"NS"
1128133;"";5;1.90000000000;"NS"
1050542;"";5;5.30000000000;"NS"
1058540;"";2;1.20000000000;""
1034734;"SE_Both";2;6162.90000000;""
1058549;"";2;4.20000000000;""
1088704;"";2;11.8000000000;""
1120728;"";5;2.70000000000;"NS"
1038297;"";5;43.2000000000;"NS"
1038296;"";5;150.000000000;"NS"
1079497;"";2;9.70000000000;""
1053415;"";5;21.0000000000;"NS"
1067293;"";2;2.60000000000;""
1079492;"";2;10.0000000000;""
1067291;"";2;5.80000000000;""
1072954;"";2;4.30000000000;""
1109935;"";5;1.60000000000;"NS"
1094612;"";2;2.80000000000;""
1065653;"";2;3.10000000000;""
1094611;"";2;5.30000000000;""
1039376;"";2;5.80000000000;""
1039374;"";2;24.1000000000;""
1039378;"";2;22.3000000000;""
1088216;"";2;4.70000000000;""
